id;name;email;programming_language;assignment_1_score;assignment_2_score;assignment_3_score;final_score
1;orange Cambridgeshire;Melissa_Kohler18@gmail.com;Bangladesh firmware Dynamic;41834;47944;86399;57179
2;full-range Manager Regional;Tanner72@yahoo.com;Bike Intelligent;24907;35206;57340;56404
3;olive Pants cyan;Winona.OKeefe14@hotmail.com;Loan Slovenia strategic;47993;22794;9574;48918
4;deposit Forest;Rosemarie19@gmail.com;open-source RAM;21333;55046;78830;51500
5;hacking Tuna;Jayson.Prosacco55@gmail.com;Gold bus Bahraini;85576;30957;99977;33616
6;program cross-platform;Corrine.Gaylord39@yahoo.com;Jamaica;18605;7223;10622;97338
7;foreground plum payment;Manuel84@gmail.com;reboot Junctions;73084;13674;61140;94672
8;RSS;Mary23@gmail.com;Synchronised Bedfordshire Handcrafted;49538;35453;80465;1436
9;5th;Sam92@hotmail.com;Dynamic;61678;40002;35251;32161
10;maximize fresh-thinking olive;Aditya75@yahoo.com;Handcrafted microchip;10949;94029;68601;91010
